Wavelength	1	2	3
198.644331	52.245268	4.353772	143.674486
199.407799	77.009421	58.770347	40.531274
200.171236	24.331204	67.37872	26.202835
200.934641	44.900921	63.897465	69.07834
201.698014	32.036335	52.859953	65.674487
202.461357	1.480294	-16.283232	19.243819
203.224667	39.745644	-16.446473	0
203.987946	11.452855	40.721261	16.543012
204.751193	15.414248	18.971382	-5.928557
205.514409	19.966066	29.949099	2.218452
206.277593	-11.456895	-6.249216	9.373824
207.040746	15.71647	33.397498	48.131688
207.803867	15.805152	-4.648574	7.437719
208.566956	16.787522	15.020415	18.55463
209.330013	2.526589	14.317335	31.161259
210.093039	21.732035	3.219561	28.976047
210.856033	-6.165341	2.312003	7.706676
211.618996	16.282943	21.463879	-1.480267
212.381926	15.666655	19.93938	11.393931
213.144825	13.039888	28.825016	21.275607
213.907692	1.324449	8.60892	-19.866738
214.670528	23.032863	11.516431	-0.639802
215.433331	-9.88715	-3.089734	3.089734
216.196103	9.553107	32.241737	24.479837
216.958842	-3.461152	13.844609	5.768587
217.72155	14.501928	24.541724	11.713095
218.484226	3.776324	3.236849	-3.776324
219.24687	8.878443	-2.611307	24.546283
220.009482	3.540943	13.152074	4.046792
220.772062	24.507175	8.33244	27.448036
221.534611	5.69395	17.081851	17.081851
222.297127	7.344963	0.91812	1.377181
223.059611	7.98388	-5.766136	3.104842
223.822063	15.82408	14.113369	-2.566067
224.584483	3.290676	5.347348	16.042046
225.346871	-2.763342	-10.263841	4.737157
226.109227	-1.889028	13.223196	4.911473
226.871551	7.577532	6.855862	10.103376
227.633843	6.539841	13.079682	15.144895
228.396103	4.924737	19.042316	6.566316
229.15833	-1.880052	-0.940026	10.026946
229.920526	8.986575	14.37852	6.290602
230.682689	10.041862	14.345518	-0.28691
231.44482	9.088611	6.334486	12.39356
232.206919	2.915247	3.975337	3.710314
232.968985	8.944422	1.277774	7.411092
233.73102	11.108326	14.317399	5.924441
234.493022	-0.716664	4.538874	1.433329
235.254991	2.548187	9.266136	5.328028
236.016929	11.017817	2.248534	10.56811
236.778834	6.120601	14.645724	3.497486
237.540707	2.554453	4.257421	10.004939
238.302547	-1.868097	0.207566	2.28323
239.064355	-0.607912	4.863296	-0.405275
239.826131	4.560033	1.784361	2.775672
240.587874	-2.137567	6.801351	4.08081
241.349585	-1.526018	8.393099	5.722568
242.111263	2.438142	7.314425	3.375888
242.872909	-2.584726	-2.953972	2.769349
243.634522	10.55158	6.003485	5.821562
244.396103	3.229554	1.255938	2.870714
245.157652	4.780574	3.009991	1.06235
245.919168	3.495788	2.79663	5.76805
246.680651	0.690236	1.553031	2.415827
247.442102	6.471085	7.492835	9.536335
248.20352	-0.167987	6.551479	2.855773
248.964905	-0.82879	6.298804	-0.165758
249.726258	6.220216	1.800589	10.967223
250.487579	4.533157	4.20936	7.123532
251.248866	5.613412	4.971879	3.368047
252.010121	1.592576	3.503667	-2.229606
252.771343	-0.950807	7.131051	-1.901614
253.532533	3.948512	4.264394	9.950251
254.29369	5.831587	5.516366	8.826185
255.054814	4.096434	4.569099	5.829541
255.815905	2.206863	3.783193	5.201891
256.576964	4.577622	2.999132	7.734603
257.337989	2.05705	2.05705	7.753498
258.098982	4.921947	2.699133	11.590392
258.859942	5.898764	3.985651	4.463929
259.620869	3.684586	5.126381	10.57316
260.381764	7.248591	8.537229	10.148027
261.142625	9.074296	6.643681	0
261.903454	6.849429	2.772388	11.089552
262.664249	3.283399	-4.268419	8.208498
263.425012	10.420594	5.127594	6.285437
264.185742	4.834942	11.003662	5.835275
264.946438	4.203219	5.043863	8.742695
265.707102	5.259555	1.017978	6.10787
266.467733	6.678972	1.712557	6.336461
267.22833	1.727615	3.627991	9.674644
267.988895	9.23265	9.755253	10.452057
268.749426	9.12561	4.21182	7.0197
